04/01/2017 - 16:04:17 - talentm - Balance Take Up Amount=6811 |Stand = 501
04/01/2017 - 16:04:58 - talentm - Payment Amount=208 |Stand = 501
04/01/2017 - 17:04:31 - talentm - Balance Take Up Amount=2234 |Stand = 663
04/01/2017 - 17:04:31 - talentm - Balance Take Up Amount=3320 |Stand = 663
04/01/2017 - 17:04:23 - talentm - Balance Take Up Amount=2171 |Stand = 589
04/01/2017 - 17:04:41 - talentm - Edited Stand Details Location Northgate Heigths Area 1026  Price 12981  Deposit '1947 Instalments '224  months_paid 84  STAND ID 487
04/01/2017 - 17:04:43 - talentm - Payment Amendement Old Amount=1129 New Amount 1947 |Stand = 487
04/01/2017 - 17:04:20 - talentm - Payment Amendement Old Amount=2171 New Amount 225 |Stand = 487
04/01/2017 - 17:04:06 - talentm - Balance Take Up Amount=6770 |Stand = 128
04/01/2017 - 17:04:51 - talentm - Payment Amount=210 |Stand = 128
04/01/2017 - 17:04:45 - talentm - Balance Take Up Amount=2650 |Stand = 195
04/01/2017 - 17:04:36 - talentm - Balance Take Up Amount=1595 |Stand = 526
04/01/2017 - 17:04:36 - talentm - Balance Take Up Amount=4391 |Stand = 526
04/01/2017 - 17:04:27 - talentm - Balance Take Up Amount=2329.86 |Stand = 639
04/01/2017 - 17:04:27 - talentm - Balance Take Up Amount=1906 |Stand = 639
04/01/2017 - 17:04:17 - talentm - Payment Amount=100 |Stand = 639
04/01/2017 - 17:04:16 - talentm - Balance Take Up Amount=4603 |Stand = 509
04/01/2017 - 17:04:20 - talentm - Balance Take Up Amount=2167 |Stand = 747
04/01/2017 - 17:04:20 - talentm - Balance Take Up Amount=2226 |Stand = 747
04/01/2017 - 17:04:15 - talentm - Payment Amount=112 |Stand = 747
04/01/2017 - 17:04:18 - talentm - Payment Amount=130 |Stand = 747
04/01/2017 - 17:04:06 - talentm - Payment Amount=120 |Stand = 747
04/01/2017 - 17:04:42 - talentm - Edited Stand Details Location Northgate Heigths Area 1087  Price 13755 Deposit '500  Instalments '125  months_paid 144  STAND ID 266
04/01/2017 - 17:04:22 - talentm - Balance Take Up Amount=2307 |Stand = 90
04/01/2017 - 17:04:20 - talentm - Edited Stand Details Location Northgate Heigths Area 1250  Price 15813  Deposit '3104 Instalments '134  months_paid 144  STAND ID 150
04/01/2017 - 17:04:22 - talentm - Balance Take Up Amount=3776 |Stand = 527
04/01/2017 - 17:04:30 - talentm - Balance Take Up Amount=2537.20 |Stand = 560
04/01/2017 - 17:04:09 - talentm - Payment Amount=167 |Stand = 560
04/01/2017 - 17:04:31 - talentm - Payment Amount=334 |Stand = 560
04/01/2017 - 17:04:27 - talentm - Payment Amount=167 |Stand = 560
04/01/2017 - 17:04:24 - talentm - Balance Take Up Amount=3830 |Stand = 294
04/01/2017 - 17:04:05 - talentm - Payment Amount=185 |Stand = 294
